,comb,obj,GAPD,PGK,PGM,ENO,TPI,ACONTb,ACONTa,CS,FUM,MDH
0,"('GAPD',)",14.151612903225798,1,0,0,0,0,0,0,0,0,0
1,"('PGK',)",14.151612903225798,0,1,0,0,0,0,0,0,0,0
2,"('PGM',)",14.796774193548359,0,0,1,0,0,0,0,0,0,0
3,"('ENO',)",14.796774193548359,0,0,0,1,0,0,0,0,0,0
4,"('TPI',)",16.08709677419352,0,0,0,0,1,0,0,0,0,0
5,"('ACONTb',)",16.681632653061236,0,0,0,0,0,1,0,0,0,0
6,"('ACONTa',)",16.681632653061236,0,0,0,0,0,0,1,0,0,0
7,"('CS',)",16.681632653061236,0,0,0,0,0,0,0,1,0,0
8,"('FUM',)",16.763025210084017,0,0,0,0,0,0,0,0,1,0
9,"('MDH',)",16.77387755102039,0,0,0,0,0,0,0,0,0,1
10,"('GAPD', 'PGK')",14.151612903225796,1,1,0,0,0,0,0,0,0,0
11,"('GAPD', 'PGM')",14.151612903225796,1,0,1,0,0,0,0,0,0,0
12,"('GAPD', 'ENO')",14.151612903225796,1,0,0,1,0,0,0,0,0,0
13,"('GAPD', 'TPI')",1.2649350649350728,1,0,0,0,1,0,0,0,0,0
14,"('GAPD', 'ACONTb')",13.63859649122807,1,0,0,0,0,1,0,0,0,0
15,"('GAPD', 'ACONTa')",13.63859649122807,1,0,0,0,0,0,1,0,0,0
16,"('GAPD', 'CS')",13.63859649122807,1,0,0,0,0,0,0,1,0,0
17,"('GAPD', 'FUM')",14.15161290322578,1,0,0,0,0,0,0,0,1,0
18,"('GAPD', 'MDH')",14.151612903225802,1,0,0,0,0,0,0,0,0,1
19,"('PGK', 'PGM')",14.151612903225807,0,1,1,0,0,0,0,0,0,0
20,"('PGK', 'ENO')",14.151612903225802,0,1,0,1,0,0,0,0,0,0
21,"('PGK', 'TPI')",1.264935064935065,0,1,0,0,1,0,0,0,0,0
22,"('PGK', 'ACONTb')",13.63859649122809,0,1,0,0,0,1,0,0,0,0
23,"('PGK', 'ACONTa')",13.63859649122809,0,1,0,0,0,0,1,0,0,0
24,"('PGK', 'CS')",13.63859649122809,0,1,0,0,0,0,0,1,0,0
25,"('PGK', 'FUM')",14.151612903225804,0,1,0,0,0,0,0,0,1,0
26,"('PGK', 'MDH')",14.151612903225809,0,1,0,0,0,0,0,0,0,1
27,"('PGM', 'ENO')",14.79677419354839,0,0,1,1,0,0,0,0,0,0
28,"('PGM', 'TPI')",14.79677419354839,0,0,1,0,1,0,0,0,0,0
29,"('PGM', 'ACONTb')",14.340350877193003,0,0,1,0,0,1,0,0,0,0
30,"('PGM', 'ACONTa')",14.340350877193003,0,0,1,0,0,0,1,0,0,0
31,"('PGM', 'CS')",14.340350877193003,0,0,1,0,0,0,0,1,0,0
32,"('PGM', 'FUM')",14.610852713178298,0,0,1,0,0,0,0,0,1,0
33,"('PGM', 'MDH')",14.68756218905472,0,0,1,0,0,0,0,0,0,1
34,"('ENO', 'TPI')",14.796774193548384,0,0,0,1,1,0,0,0,0,0
35,"('ENO', 'ACONTb')",14.340350877192957,0,0,0,1,0,1,0,0,0,0
36,"('ENO', 'ACONTa')",14.340350877192957,0,0,0,1,0,0,1,0,0,0
37,"('ENO', 'CS')",14.340350877192957,0,0,0,1,0,0,0,1,0,0
38,"('ENO', 'FUM')",14.610852713178298,0,0,0,1,0,0,0,0,1,0
39,"('ENO', 'MDH')",14.687562189054724,0,0,0,1,0,0,0,0,0,1
40,"('TPI', 'ACONTb')",15.743859649122902,0,0,0,0,1,1,0,0,0,0
41,"('TPI', 'ACONTa')",15.743859649122902,0,0,0,0,1,0,1,0,0,0
42,"('TPI', 'CS')",15.743859649122902,0,0,0,0,1,0,0,1,0,0
43,"('TPI', 'FUM')",16.044961240310148,0,0,0,0,1,0,0,0,1,0
44,"('TPI', 'MDH')",16.087096774193547,0,0,0,0,1,0,0,0,0,1
45,"('ACONTb', 'ACONTa')",16.681632653061303,0,0,0,0,0,1,1,0,0,0
46,"('ACONTb', 'CS')",16.681632653061314,0,0,0,0,0,1,0,1,0,0
47,"('ACONTb', 'FUM')",16.681632653061314,0,0,0,0,0,1,0,0,1,0
48,"('ACONTb', 'MDH')",16.681632653061314,0,0,0,0,0,1,0,0,0,1
49,"('ACONTa', 'CS')",16.68163265306131,0,0,0,0,0,0,1,1,0,0
50,"('ACONTa', 'FUM')",16.68163265306131,0,0,0,0,0,0,1,0,1,0
51,"('ACONTa', 'MDH')",16.68163265306131,0,0,0,0,0,0,1,0,0,1
52,"('CS', 'FUM')",16.681632653061314,0,0,0,0,0,0,0,1,1,0
53,"('CS', 'MDH')",16.681632653061314,0,0,0,0,0,0,0,1,0,1
54,"('FUM', 'MDH')",16.763025210083974,0,0,0,0,0,0,0,0,1,1
55,"('GAPD', 'PGK', 'PGM')",14.151612903225784,1,1,1,0,0,0,0,0,0,0
56,"('GAPD', 'PGK', 'ENO')",14.151612903225784,1,1,0,1,0,0,0,0,0,0
57,"('GAPD', 'PGK', 'TPI')",1.2649350649350655,1,1,0,0,1,0,0,0,0,0
