,comb,obj,obj_rand,GLCabcpp,GLCptspp,HEX1,PGI,PFK,FBA,TPI,GAPD,PGK,PGM,ENO,PYK
0,"('GLCabcpp',)",8.581712320160081,8.446460383754692,1,0,0,0,0,0,0,0,0,0,0,0
1,"('GLCptspp',)",8.451703433636347,8.634570971469568,0,1,0,0,0,0,0,0,0,0,0,0
2,"('HEX1',)",8.581712320160129,10.19000218080924,0,0,1,0,0,0,0,0,0,0,0,0
3,"('PGI',)",8.471787543676454,8.425686856739604,0,0,0,1,0,0,0,0,0,0,0,0
4,"('PFK',)",8.581712320160122,10.222978155388505,0,0,0,0,1,0,0,0,0,0,0,0
5,"('FBA',)",8.581712320160122,10.047738411285867,0,0,0,0,0,1,0,0,0,0,0,0
6,"('TPI',)",7.846666138154743,7.797916482668061,0,0,0,0,0,0,1,0,0,0,0,0
7,"('GAPD',)",6.2206345018010465,6.965465363659754,0,0,0,0,0,0,0,1,0,0,0,0
8,"('PGK',)",6.220634501801045,5.122679141650069,0,0,0,0,0,0,0,0,1,0,0,0
9,"('PGM',)",6.846287701370947,7.92730628886114,0,0,0,0,0,0,0,0,0,1,0,0
10,"('ENO',)",6.846287701370947,5.958600602567371,0,0,0,0,0,0,0,0,0,0,1,0
11,"('PYK',)",8.581712320160104,9.898846832389298,0,0,0,0,0,0,0,0,0,0,0,1
12,"('GLCabcpp', 'GLCptspp')",8.451703433636325,8.231368745229267,1,1,0,0,0,0,0,0,0,0,0,0
13,"('GLCabcpp', 'HEX1')",8.581712320160104,8.694537507096307,1,0,1,0,0,0,0,0,0,0,0,0
14,"('GLCabcpp', 'PGI')",8.471787543676422,8.823827116632758,1,0,0,1,0,0,0,0,0,0,0,0
15,"('GLCabcpp', 'PFK')",8.581712320160099,7.730659058427911,1,0,0,0,1,0,0,0,0,0,0,0
16,"('GLCabcpp', 'FBA')",8.581712320160099,8.719958222636407,1,0,0,0,0,1,0,0,0,0,0,0
17,"('GLCabcpp', 'TPI')",7.846666138154727,8.78523371122327,1,0,0,0,0,0,1,0,0,0,0,0
18,"('GLCabcpp', 'GAPD')",6.2206345018011495,6.754693156697033,1,0,0,0,0,0,0,1,0,0,0,0
19,"('GLCabcpp', 'PGK')",6.2206345018011495,6.594185576983449,1,0,0,0,0,0,0,0,1,0,0,0
20,"('GLCabcpp', 'PGM')",6.846287701371031,7.129918047594118,1,0,0,0,0,0,0,0,0,1,0,0
21,"('GLCabcpp', 'ENO')",6.846287701371031,6.5235758726770845,1,0,0,0,0,0,0,0,0,0,1,0
22,"('GLCabcpp', 'PYK')",8.581712320160221,10.270108287904883,1,0,0,0,0,0,0,0,0,0,0,1
23,"('GLCptspp', 'HEX1')",8.451703433636439,7.467019725237303,0,1,1,0,0,0,0,0,0,0,0,0
24,"('GLCptspp', 'PGI')",8.451703433636439,8.609534462181296,0,1,0,1,0,0,0,0,0,0,0,0
25,"('GLCptspp', 'PFK')",8.451703433636382,8.665957222607618,0,1,0,0,1,0,0,0,0,0,0,0
26,"('GLCptspp', 'FBA')",8.451703433636382,9.058747804506025,0,1,0,0,0,1,0,0,0,0,0,0
27,"('GLCptspp', 'TPI')",7.781409504320967,7.431956558183252,0,1,0,0,0,0,1,0,0,0,0,0
28,"('GLCptspp', 'GAPD')",6.220634501801071,5.897193199361912,0,1,0,0,0,0,0,1,0,0,0,0
