,comb,obj,obj_rand
0,"('GLCabcpp',)",8.581712320160081,8.446460383754692
1,"('GLCptspp',)",8.451703433636347,8.634570971469568
2,"('HEX1',)",8.581712320160129,10.19000218080924
3,"('PGI',)",8.471787543676454,8.425686856739604
4,"('PFK',)",8.581712320160122,10.222978155388505
5,"('FBA',)",8.581712320160122,10.047738411285867
6,"('TPI',)",7.846666138154743,7.797916482668061
7,"('GAPD',)",6.2206345018010465,6.965465363659754
8,"('PGK',)",6.220634501801045,5.122679141650069
9,"('PGM',)",6.846287701370947,7.92730628886114
10,"('ENO',)",6.846287701370947,5.958600602567371
11,"('PYK',)",8.581712320160104,9.898846832389298
12,"('GLCabcpp', 'GLCptspp')",8.451703433636325,8.231368745229267
13,"('GLCabcpp', 'HEX1')",8.581712320160104,8.694537507096307
14,"('GLCabcpp', 'PGI')",8.471787543676422,8.823827116632758
15,"('GLCabcpp', 'PFK')",8.581712320160099,7.730659058427911
16,"('GLCabcpp', 'FBA')",8.581712320160099,8.719958222636407
17,"('GLCabcpp', 'TPI')",7.846666138154727,8.78523371122327
18,"('GLCabcpp', 'GAPD')",6.2206345018011495,6.754693156697033
19,"('GLCabcpp', 'PGK')",6.2206345018011495,6.594185576983449
20,"('GLCabcpp', 'PGM')",6.846287701371031,7.129918047594118
21,"('GLCabcpp', 'ENO')",6.846287701371031,6.5235758726770845
22,"('GLCabcpp', 'PYK')",8.581712320160221,10.270108287904883
23,"('GLCptspp', 'HEX1')",8.451703433636439,7.467019725237303
24,"('GLCptspp', 'PGI')",8.451703433636439,8.609534462181296
25,"('GLCptspp', 'PFK')",8.451703433636382,8.665957222607618
26,"('GLCptspp', 'FBA')",8.451703433636382,9.058747804506025
27,"('GLCptspp', 'TPI')",7.781409504320967,7.431956558183252
28,"('GLCptspp', 'GAPD')",6.220634501801071,5.897193199361912
29,"('GLCptspp', 'PGK')",6.220634501801072,5.557641477917265
30,"('GLCptspp', 'PGM')",6.8462877013709855,5.971301069696427
31,"('GLCptspp', 'ENO')",6.8462877013709855,6.574450453327756
32,"('GLCptspp', 'PYK')",8.451703433636322,7.896873886394647
33,"('HEX1', 'PGI')",8.471787543676433,9.066276831325375
34,"('HEX1', 'PFK')",8.581712320160118,9.519129310759865
35,"('HEX1', 'FBA')",8.581712320160118,8.185796429017099
36,"('HEX1', 'TPI')",7.846666138154757,7.988830816309643
37,"('HEX1', 'GAPD')",6.220634501801071,5.644129766328867
38,"('HEX1', 'PGK')",6.220634501801071,5.276543678076197
39,"('HEX1', 'PGM')",6.846287701370977,5.812850315822632
40,"('HEX1', 'ENO')",6.846287701370977,6.37233398726553
41,"('HEX1', 'PYK')",8.581712320160205,9.619769364512344
42,"('PGI', 'PFK')",8.471787543676534,7.688964841219082
43,"('PGI', 'FBA')",8.471787543676534,7.4100293152610295
44,"('PGI', 'TPI')",7.8466661381547524,8.485470315927133
45,"('PGI', 'GAPD')",6.220634501801079,5.14748417095782
46,"('PGI', 'PGK')",6.22063450180108,5.862071780567967
47,"('PGI', 'PGM')",6.786087036370961,6.018038901649791
48,"('PGI', 'ENO')",6.786087036370961,5.8558167574927324
49,"('PGI', 'PYK')",8.471787543676479,8.356956243457446
50,"('PFK', 'FBA')",8.581712320160163,7.984049724850832
51,"('PFK', 'TPI')",7.846666138154743,7.200179087210856
52,"('PFK', 'GAPD')",6.220634501801043,7.085456751849595
53,"('PFK', 'PGK')",6.2206345018010465,6.259617049741419
54,"('PFK', 'PGM')",6.846287701370943,6.021819154617954
55,"('PFK', 'ENO')",6.846287701370943,6.070641593544043
56,"('PFK', 'PYK')",8.581712320160197,9.572319772868822
