Number of interventions,Set number,Force Set,Type of regulation,Min flux in Wild Type (mmol/gDW hr),Max flux in Wild Type (mmol/gDW hr),Min flux in Mutant (mmol/gDW hr),Max flux in Mutant (mmol/gDW hr),Achieved flux (mmol/gDW hr),Objective function (mmol/gDW hr),Minimum guaranteed for target (mmol/gDW hr),Maximum guaranteed for target (mmol/gDW hr),Maximum growth rate (1/hr)
10,1,EX_so4_e,upregulation,-55.20063903,-2.26989,0,0,0,400,400,400,0
,,DHORTS,upregulation,-27.62895268,-2.977155,0,0,0,,,,
,,IPPMIb,upregulation,-6.847363,-4.054779,0,0,0,,,,
,,KARA1,upregulation,-10.661005,-7.868421,0,0,0,,,,
,,SUCCtex,downregulation,-211.6196086,0,-400,-400,-400,,,,
,,EX_gly_e,knockout,0,2.792584,0,0,0,,,,
,,ACONMT,knockout,0,0,0,0,0,,,,
,,ACPS1,knockout,0,0,0,0,0,,,,
,,I2FE2SR,knockout,0,1.84577E-05,0,0,0,,,,
,,PGI,knockout,-178.5465759,298.4903089,-129.1333333,221.85,0,,,,
10,2,IPPMIa,upregulation,-6.847363,-4.054779,0,0,0,400,400,400,0
,,ILETA,upregulation,-5.407345,-2.614761,0,0,0,,,,
,,ORPT,upregulation,-27.62895268,-2.977155,0,0,0,,,,
,,SHKK,downregulation,3.430071,6.222655,0,0,0,,,,
,,SUCCtex,downregulation,-211.6196086,0,-400,-400,-400,,,,
,,EX_o2_e,knockout,-100,-51.22321764,-100,0,0,,,,
,,ACt2rpp,knockout,-1000,0,-1000,0,0,,,,
,,GTHRDtex,knockout,-0.930861333,0,0,0,0,,,,
,,NTD3,knockout,0,66.24193429,0,33.23181818,0,,,,
,,PGPP181pp,knockout,0,46.70360209,0,28.67058824,0,,,,
10,3,SUCCtex,downregulation,-211.6196086,0,-400,-400,-400,400,400,400,0
,,EX_fe3_e,knockout,-144.4403652,195.0602814,0,400,0,,,,
,,ACACT2r,knockout,-7.920500661,88.55583483,0,0,0,,,,
,,ACALD,knockout,-268.8004655,396.9806178,-121.85,393.7,0,,,,
,,3OAR180,knockout,0,42.56845246,0,0,0,,,,
,,ASNt2rpp,knockout,-264.6537452,0,-162.4666667,0,0,,,,
,,PIt2rpp,knockout,-255.9720662,102.0888832,-162.4666667,57.34117647,0,,,,
,,PPA,knockout,0,198.4903089,0,121.85,0,,,,
,,PPK,knockout,-1000,166.9580169,-1000,121.85,0,,,,
,,SUCCt3pp,knockout,0,264.6537452,0,462.4666667,0,,,,
10,4,3OAR140,downregulation,0.700416,43.29688437,0,0,0,400,400,400,0
,,3OAS140,downregulation,0.700416,43.29688437,0,0,0,,,,
,,SUCCtex,downregulation,-211.6196086,0,-400,-400,-400,,,,
,,EX_o2_e,knockout,-100,-51.22321764,-100,0,0,,,,
,,ACtex,knockout,-432.7522656,0,0,0,0,,,,
,,CYTK1,knockout,-64.53529129,200.1184539,-40.61666667,121.85,0,,,,
,,G3PIabcpp,knockout,0,0,0,0,0,,,,
,,HACD5,knockout,-39.72428212,11.580672,0,0,0,,,,
,,NDPK2,knockout,3.592053,202.3178559,0,121.85,0,,,,
,,PItex,knockout,8.681679,33.49296761,0,0,0,,,,
10,5,MALS,upregulation,0,102.2572738,0,130.62,100,400,400,400,0
,,TYRTA,upregulation,-4.035655,-1.243071,0,0,0,,,,
,,SUCCtex,downregulation,-211.6196086,0,-400,-400,-400,,,,
,,EX_ac_e,knockout,0,432.7522656,0,0,0,,,,
,,EX_o2_e,knockout,-100,-51.22321764,-100,0,0,,,,
,,AACTOOR,knockout,0,66.49842229,0,37.49230769,0,,,,
