Comb,growthRate,minProd,maxProd,combList,ACALD,ALCD2x,GLCabcpp,GND,HEX1,LDH_D,PFL,PFK,PYK,TKT2
ACALD,0.194807480315242,0.0645716400338757,0.0645994278040209,['ACALD'],1,0,0,0,0,0,0,0,0,0
ALCD2x,0.194807480315377,0.0645716400338993,0.0645994277044876,['ALCD2x'],0,1,0,0,0,0,0,0,0,0
GLCabcpp,0.241501557097144,0.080049053196241,0.0800559410549271,['GLCabcpp'],0,0,1,0,0,0,0,0,0,0
GND,0.241501557097181,0.0800490531962237,0.0800559410381216,['GND'],0,0,0,1,0,0,0,0,0,0
HEX1,0.241501557097362,0.0800490531962238,0.0800559410599458,['HEX1'],0,0,0,0,1,0,0,0,0,0
LDH_D,0.241501557097334,0.0800490531962309,0.0800559410628612,['LDH_D'],0,0,0,0,0,1,0,0,0,0
PFL,0.189214056431738,0.0627176292962079,0.0627477815556785,['PFL'],0,0,0,0,0,0,1,0,0,0
PFK,0.241501557097332,0.0800490531963236,0.0800559410785166,['PFK'],0,0,0,0,0,0,0,1,0,0
PYK,0.241501557096876,0.0800490531963236,0.0800559410785166,['PYK'],0,0,0,0,0,0,0,0,1,0
TKT2,0.239585570582254,0.0794139681724463,0.07942255083983,['TKT2'],0,0,0,0,0,0,0,0,0,1
"ACALD, ALCD2x",0.194807480315316,0.0645716400338757,0.0645994278629175,"['ACALD', 'ALCD2x']",1,1,0,0,0,0,0,0,0,0
"ACALD, GLCabcpp",0.19480748031534,0.0645716400338789,0.0645994277332321,"['ACALD', 'GLCabcpp']",1,0,1,0,0,0,0,0,0,0
"ACALD, GND",0.194807480315318,0.0645716400338459,0.064599427503139,"['ACALD', 'GND']",1,0,0,1,0,0,0,0,0,0
"ACALD, HEX1",0.194807480315577,0.0645716400339112,0.0645994276704695,"['ACALD', 'HEX1']",1,0,0,0,1,0,0,0,0,0
"ACALD, LDH_D",0.194807480315317,0.0645716400338757,0.0645994277860205,"['ACALD', 'LDH_D']",1,0,0,0,0,1,0,0,0,0
"ACALD, PFL",0.189214056431771,0.0627176292962388,0.0627477818514842,"['ACALD', 'PFL']",1,0,0,0,0,0,1,0,0,0
"ACALD, PFK",0.194807480315253,0.0645716400339475,0.0645994277706998,"['ACALD', 'PFK']",1,0,0,0,0,0,0,1,0,0
"ACALD, PYK",0.194807480315242,0.0645716400338757,0.0645994278023307,"['ACALD', 'PYK']",1,0,0,0,0,0,0,0,1,0
"ACALD, TKT2",0.191601956883979,0.0635091321818341,0.0635291424287529,"['ACALD', 'TKT2']",1,0,0,0,0,0,0,0,0,1
"ALCD2x, GLCabcpp",0.194807480315648,0.0645716400338529,0.0645994277679069,"['ALCD2x', 'GLCabcpp']",0,1,1,0,0,0,0,0,0,0
"ALCD2x, GND",0.194807480315307,0.064571640033831,0.0645994277639238,"['ALCD2x', 'GND']",0,1,0,1,0,0,0,0,0,0
"ALCD2x, HEX1",0.194807480315387,0.0645716400336249,0.0645994278179162,"['ALCD2x', 'HEX1']",0,1,0,0,1,0,0,0,0,0
"ALCD2x, LDH_D",0.194807480315547,0.0645716400337747,0.0645994276968778,"['ALCD2x', 'LDH_D']",0,1,0,0,0,1,0,0,0,0
"ALCD2x, PFL",0.189214056431647,0.0627176292963574,0.062747781732917,"['ALCD2x', 'PFL']",0,1,0,0,0,0,1,0,0,0
"ALCD2x, PFK",0.194807480315418,0.0645716400338993,0.0645994277044876,"['ALCD2x', 'PFK']",0,1,0,0,0,0,0,1,0,0
"ALCD2x, PYK",0.194807480315161,0.0645716400338993,0.0645994277044876,"['ALCD2x', 'PYK']",0,1,0,0,0,0,0,0,1,0
"ALCD2x, TKT2",0.191601956884177,0.0635091321818422,0.0635291424222161,"['ALCD2x', 'TKT2']",0,1,0,0,0,0,0,0,0,1
