Combination,FoldChange
PosCtrl,1.000002
FKH1,2.128433333
FKH1-GCN5,5.157823333
FKH1-GCN5-MED4,5.029116667
FKH1-GCN5-OPI1,2.42528
FKH1-GCN5-RFX1,2.01398
FKH1-GCN5-RGR1,2.461696667
FKH1-GCN5-RPD3,2.13472
FKH1-GCN5-SPT3,2.08414
FKH1-GCN5-TFC7,1.989686667
FKH1-GCN5-YAP6,2.04643
FKH1-MED4,1.647596667
FKH1-MED4-OPI1,1.395033333
FKH1-MED4-RFX1,0.922934
FKH1-MED4-RGR1,0.992424333
FKH1-MED4-RPD3,1.022911
FKH1-MED4-SPT3,0.747680333
FKH1-MED4-TFC7,1.008125667
FKH1-MED4-YAP6,0.96147
FKH1-OPI1,0.780485333
FKH1-OPI1-RFX1,1.19121
FKH1-OPI1-RGR1,1.286356667
FKH1-OPI1-RPD3,1.12363
FKH1-OPI1-SPT3,1.086534
FKH1-OPI1-TFC7,0.994274
FKH1-OPI1-YAP6,1.026538
FKH1-RFX1,0.805052667
FKH1-RFX1-RGR1,0.949409667
FKH1-RFX1-RPD3,0.781767667
FKH1-RFX1-SPT3,0.887615
FKH1-RFX1-TFC7,0.944032
FKH1-RFX1-YAP6,1.029742
FKH1-RGR1,0.725697333
FKH1-RGR1-RPD3,0.931904
FKH1-RGR1-SPT3,0.853929667
FKH1-RGR1-TFC7,0.981971667
FKH1-RGR1-YAP6,1.458608667
FKH1-RPD3,0.741752
FKH1-RPD3-SPT3,1.006813333
FKH1-RPD3-TFC7,0.983735
FKH1-RPD3-YAP6,1.10772
FKH1-SPT3,0.782490667
FKH1-SPT3-TFC7,1.063973333
FKH1-SPT3-YAP6,1.37882
FKH1-TFC7,0.564727667
FKH1-YAP6,0.732489333
FKH1-YAP6-TFC7,1.106236667
GCN5,2.599685
GCN5-MED4,2.966035
GCN5-MED4-OPI1,2.055403333
GCN5-MED4-RFX1,1.462963333
GCN5-MED4-RGR1,1.800216667
GCN5-MED4-RPD3,1.647156667
GCN5-MED4-SPT3,1.694646667
GCN5-MED4-TFC7,1.704946667
GCN5-MED4-YAP6,1.331214667
GCN5-OPI1,2.81656
GCN5-OPI1-RFX1,2.775123333
GCN5-OPI1-RGR1,2.568386667
GCN5-OPI1-RPD3,3.111253333
GCN5-OPI1-SPT3,2.7452
GCN5-OPI1-TFC7,2.01195
GCN5-OPI1-YAP6,2.237266667
GCN5-RFX1,2.54447
GCN5-RFX1-RGR1,1.715236667
GCN5-RFX1-RPD3,1.88879
GCN5-RFX1-SPT3,1.805913333
GCN5-RFX1-TFC7,1.718006667
GCN5-RFX1-YAP6,1.777686667
GCN5-RGR1,2.22467
GCN5-RGR1-RPD3,1.646423333
GCN5-RGR1-SPT3,1.499983333
GCN5-RGR1-TFC7,1.697885
GCN5-RGR1-YAP6,1.766856667
GCN5-RPD3,2.554586667
GCN5-RPD3-SPT3,1.74478
GCN5-RPD3-TFC7,1.035386667
GCN5-RPD3-YAP6,2.283946667
